Livsmedelsnamn;Livsmedelsnummer;Energi (kcal)(kcal);Protein(g);Fett(g);Kolhydrater(g)
Rågbröd fullkorn potatis fibrer ca 5% ;219;258;5,7;1,4;52,4
Vitt bröd ostfralla vatten fibrer  ca 3% ;222;275;11,5;3,4;47,2
Riskakor fullkorn solrosfrön majs fett 4% ;224;394;7,9;4,4;77,4
Riskakor fullkorn smaksatta fett 18% ;225;461;7;18,1;65,8
Bröd vitt glutenfritt fibrer ca 3% ;226;299;2,7;6,4;55,6
Bröd mörkt glutenfritt fibrer ca 6% ;227;289;0,6;6,1;54,6
Croissant fransk giffel;229;299;6,7;12,3;39,3
Höstpotatis rå;230;81;1,8;0,1;16,8
Höstpotatis kokt m salt;231;85;1,9;0,1;17,8
Potatis m skal bakad u salt;233;91;1,7;0,1;19,4
Potatis m skal bakad u salt i aluminiumfolie ;234;89;1,5;0,6;18,1
Potatis tärnad fryst;235;81;1,7;0,1;17,3
Färskpotatis konserv;237;61;1,3;0,1;12,2
Klyftpotatis u skal ugnsstekt m rapsolja;238;120;2,2;1,6;23,1
Potatis stekt;240;115;2;3;18,8
Potatis råstekt;241;109;1,9;2,7;17,8
Potatis kokt stekt;242;116;1,9;3,2;18,6
Pommes frites friterad potatis fett ca 7% fryst värmd i ugn;244;216;3,2;7,6;32
Pommes frites friterad potatis fett ca 11% fryst;245;243;3;11,4;30,6
Pommes frites friterad potatis fett ca 17% gatukök;246;307;3,5;17,5;32,6
Kroppkakor el potatispalt m fläsk;248;169;5,7;5,7;22,8
Pytt i panna gjutjärnsstekpanna hemlagad ;249;139;6,3;6,2;13,9
Sjömansbiff hemlagad;250;90;6,8;2,6;9,2
Lapskojs;252;125;8,3;6,1;8,8
Pitepalt;253;161;4,4;4,7;23,7
Bakad potatis m kycklingcurryröra sallad;254;156;3,3;12,2;7,1
Pytt i panna fryst;255;154;6,4;7,9;13,9
Sjömansbiff fryst;256;84;6,7;2,3;8,6
